strike,Contract Name,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility
5.50,ARIA150904C00005500,2.05,2.00,6.70,0.00,0.00%,10,0,"1,300.00%"
6.00,ARIA150904C00006000,0.55,1.95,6.20,0.00,0.00%,1,0,360.16%
6.50,ARIA150904C00006500,2.73,1.50,3.80,0.00,0.00%,6,0,414.84%
7.00,ARIA150904C00007000,3.00,2.00,3.30,0.00,0.00%,3409,0,363.28%
7.50,ARIA150904C00007500,2.40,2.10,2.75,0.00,0.00%,1708,0,148.44%
8.00,ARIA150904C00008000,2.00,1.50,2.30,0.00,0.00%,689,0,93.75%
8.50,ARIA150904C00008500,1.52,1.30,2.00,0.00,0.00%,149,0,178.13%
9.00,ARIA150904C00009000,1.37,1.05,1.65,0.00,0.00%,104,0,188.67%
10.00,ARIA150904C00010000,0.85,0.65,1.10,0.00,0.00%,359,0,200.39%
10.50,ARIA150904C00010500,0.71,0.45,0.85,0.00,0.00%,11,0,194.53%
11.00,ARIA150904C00011000,0.55,0.35,0.60,0.00,0.00%,130,0,190.63%
